Physiography,Sitecover,Siteno,Site name,Incdate,Recdate,MAT,MAP,AET,Percloss
Scandinavian-NW-continental,Scots pine,651,Jadraas,11/2/82,10/27/83,3.8,609,472,34.07
Scandinavian-NW-continental,Scots pine,651,Jadraas,11/2/82,10/27/83,3.8,609,472,30.43
Scandinavian-NW-continental,Scots pine,651,Jadraas,11/2/82,10/27/83,3.8,609,472,31.03
Scandinavian-NW-continental,Scots pine,651,Jadraas,11/2/82,10/27/83,3.8,609,472,36.6
Scandinavian-NW-continental,Scots pine,651,Jadraas,11/2/82,10/27/83,3.8,609,472,29.8
Scandinavian-NW-continental,Scots pine,651,Jadraas,11/2/82,10/27/83,3.8,609,472,29.4
Scandinavian-NW-continental,Scots pine,651,Jadraas,11/2/82,10/27/83,3.8,609,472,28.97
Scandinavian-NW-continental,Scots pine,651,Jadraas,11/2/82,10/27/83,3.8,609,472,24.55
Scandinavian-NW-continental,Scots pine,651,Jadraas,11/2/82,10/27/83,3.8,609,472,23.46
Scandinavian-NW-continental,Scots pine,651,Jadraas,11/2/82,10/27/83,3.8,609,472,30.15
Scandinavian-NW-continental,Scots pine,651,Jadraas,11/2/82,10/27/83,3.8,609,472,27.01
Scandinavian-NW-continental,Scots pine,651,Jadraas,11/2/82,10/27/83,3.8,609,472,29.92
Scandinavian-NW-continental,Scots pine,651,Jadraas,11/2/82,10/27/83,3.8,609,472,30.83
Scandinavian-NW-continental,Scots pine,651,Jadraas,11/2/82,10/27/83,3.8,609,472,31.64
Scandinavian-NW-continental,Scots pine,651,Jadraas,11/2/82,10/27/83,3.8,609,472,33.05
Scandinavian-NW-continental,Scots pine,651,Jadraas,11/2/82,10/27/83,3.8,609,472,30.98
Scandinavian-NW-continental,Scots pine,651,Jadraas,11/2/82,10/27/83,3.8,609,472,30.06
Scandinavian-NW-continental,Scots pine,651,Jadraas,11/2/82,10/27/83,3.8,609,472,30.66
Scandinavian-NW-continental,Scots pine,651,Jadraas,11/2/82,10/27/83,3.8,609,472,28
Scandinavian-NW-continental,Scots pine,651,Jadraas,11/2/82,10/27/83,3.8,609,472,26.6
Scandinavian-NW-continental,Scots pine,7,Brattforsheden,5/13/86,11/5/87,5.2,850,493,19.67
Scandinavian-NW-continental,Scots pine,7,Brattforsheden,5/13/86,11/5/87,5.2,850,493,26.36
Scandinavian-NW-continental,Scots pine,7,Brattforsheden,5/13/86,11/5/87,5.2,850,493,17.59
Scandinavian-NW-continental,Scots pine,7,Brattforsheden,5/13/86,11/5/87,5.2,850,493,20.42
Scandinavian-NW-continental,Scots pine,7,Brattforsheden,5/13/86,11/5/87,5.2,850,493,24.83
Scandinavian-NW-continental,Scots pine,7,Brattforsheden,5/13/86,11/5/87,5.2,850,493,23.57
Scandinavian-NW-continental,Scots pine,7,Brattforsheden,5/13/86,11/5/87,5.2,850,493,27.76
Scandinavian-NW-continental,Scots pine,7,Brattforsheden,5/13/86,11/5/87,5.2,850,493,29.32
Scandinavian-NW-continental,Scots pine,7,Brattforsheden,5/13/86,11/5/87,5.2,850,493,33.77
Scandinavian-NW-continental,Scots pine,7,Brattforsheden,5/13/86,11/5/87,5.2,850,493,24.12
Scandinavian-NW-continental,Scots pine,7,Brattforsheden,5/13/86,11/5/87,5.2,850,493,22.45
Scandinavian-NW-continental,Scots pine,7,Brattforsheden,5/13/86,11/5/87,5.2,850,493,28.43
Scandinavian-NW-continental,Scots pine,7,Brattforsheden,5/13/86,11/5/87,5.2,850,493,17.16
Scandinavian-NW-continental,Scots pine,7,Brattforsheden,5/13/86,11/5/87,5.2,850,493,19.35
Scandinavian-NW-continental,Scots pine,7,Brattforsheden,5/13/86,11/5/87,5.2,850,493,24.01
Scandinavian-NW-continental,Scots pine,7,Brattforsheden,5/13/86,11/5/87,5.2,850,493,24.85
Scandinavian-NW-continental,Scots pine,7,Brattforsheden,5/13/86,11/5/87,5.2,850,493,23.15
Scandinavian-NW-continental,Scots pine,7,Brattforsheden,5/13/86,11/5/87,5.2,850,493,35.08
Scandinavian-NW-continental,Scots pine,7,Brattforsheden,5/13/86,11/5/87,5.2,850,493,19.17
Scandinavian-NW-continental,Scots pine,7,Brattforsheden,5/13/86,11/5/87,5.2,850,493,26.32
Scandinavian-NW-continental,Scots pine,7,Brattforsheden,5/13/86,11/5/87,5.2,850,493,20.51
Scandinavian-NW-continental,Scots pine,7,Brattforsheden,5/13/86,11/5/87,5.2,850,493,31.39
Scandinavian-NW-continental,Scots pine,7,Brattforsheden,5/13/86,11/5/87,5.2,850,493,16.13
Scandinavian-NW-continental,Scots pine,7,Brattforsheden,5/13/86,11/5/87,5.2,850,493,27.46
Scandinavian-NW-continental,Scots pine,7,Brattforsheden,5/13/86,11/5/87,5.2,850,493,25.5
Scandinavian-NW-continental,Scots pine,7,Brattforsheden,5/13/86,11/5/87,5.2,850,493,30.2
Scandinavian-NW-continental,Scots pine,2,Harads,6/12/87,5/10/88,1.3,650,387,18.51
Scandinavian-NW-continental,Scots pine,2,Harads,6/12/87,5/10/88,1.3,650,387,16.82
Scandinavian-NW-continental,Scots pine,2,Harads,6/12/87,5/10/88,1.3,650,387,16
Scandinavian-NW-continental,Scots pine,2,Harads,6/12/87,5/10/88,1.3,650,387,17.09
Scandinavian-NW-continental,Scots pine,2,Harads,6/12/87,5/10/88,1.3,650,387,16.24
Scandinavian-NW-continental,Scots pine,2,Harads,6/12/87,5/10/88,1.3,650,387,14.26
Scandinavian-NW-continental,Scots pine,2,Harads,6/12/87,5/10/88,1.3,650,387,20.39
Scandinavian-NW-continental,Scots pine,2,Harads,6/12/87,5/10/88,1.3,650,387,15.59
Scandinavian-NW-continental,Scots pine,2,Harads,6/12/87,5/10/88,1.3,650,387,15.97
Scandinavian-NW-continental,Scots pine,2,Harads,6/12/87,5/10/88,1.3,650,387,15.86
Scandinavian-NW-continental,Scots pine,2,Harads,6/12/87,5/10/88,1.3,650,387,13.82
Scandinavian-NW-continental,Scots pine,2,Harads,6/12/87,5/10/88,1.3,650,387,19.07
Scandinavian-NW-continental,Scots pine,2,Harads,6/12/87,5/10/88,1.3,650,387,12.33
Scandinavian-NW-continental,Scots pine,2,Harads,6/12/87,5/10/88,1.3,650,387,15.16
Scandinavian-NW-continental,Scots pine,2,Harads,6/12/87,5/10/88,1.3,650,387,21.14
Scandinavian-NW-continental,Scots pine,2,Harads,6/12/87,5/10/88,1.3,650,387,15.46
Scandinavian-NW-continental,Scots pine,2,Harads,6/12/87,5/10/88,1.3,650,387,15.23
Scandinavian-NW-continental,Scots pine,2,Harads,6/12/87,5/10/88,1.3,650,387,13.26
Scandinavian-NW-continental,Scots pine,2,Harads,6/12/87,5/10/88,1.3,650,387,17.81
Scandinavian-NW-continental,Scots pine,2,Harads,6/12/87,5/10/88,1.3,650,387,16.35
Scandinavian-NW-continental,Scots pine,2,Harads,6/12/87,5/10/88,1.3,650,387,16.27
Scandinavian-NW-continental,Scots pine,2,Harads,6/12/87,5/10/88,1.3,650,387,16
Scandinavian-NW-continental,Scots pine,2,Harads,6/12/87,5/10/88,1.3,650,387,16.76
Scandinavian-NW-continental,Scots pine,2,Harads,6/12/87,5/10/88,1.3,650,387,17.29
Scandinavian-NW-continental,Scots pine,2,Harads,6/12/87,5/10/88,1.3,650,387,19.36
Scandinavian-NW-continental,Scots pine,2,Harads,6/12/87,5/10/88,1.3,650,387,18.96
Scandinavian-NW-continental,Scots pine,1,Kevo,6/14/86,6/13/87,-1.7,420,350,6.88
Scandinavian-NW-continental,Scots pine,1,Kevo,6/14/86,6/13/87,-1.7,420,350,5.8
Scandinavian-NW-continental,Scots pine,1,Kevo,6/14/86,6/13/87,-1.7,420,350,7.29
Scandinavian-NW-continental,Scots pine,1,Kevo,6/14/86,6/13/87,-1.7,420,350,7.71
Scandinavian-NW-continental,Scots pine,1,Kevo,6/14/86,6/13/87,-1.7,420,350,7.47
Scandinavian-NW-continental,Scots pine,1,Kevo,6/14/86,6/13/87,-1.7,420,350,7.2
Scandinavian-NW-continental,Scots pine,1,Kevo,6/14/86,6/13/87,-1.7,420,350,7.78
Scandinavian-NW-continental,Scots pine,1,Kevo,6/14/86,6/13/87,-1.7,420,350,6.5
Scandinavian-NW-continental,Scots pine,1,Kevo,6/14/86,6/13/87,-1.7,420,350,7.53
Scandinavian-NW-continental,Scots pine,1,Kevo,6/14/86,6/13/87,-1.7,420,350,3.55
Scandinavian-NW-continental,Scots pine,1,Kevo,6/14/86,6/13/87,-1.7,420,350,7.01
Scandinavian-NW-continental,Scots pine,1,Kevo,6/14/86,6/13/87,-1.7,420,350,7.77
Scandinavian-NW-continental,Scots pine,1,Kevo,6/14/86,6/13/87,-1.7,420,350,6.19
